                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1684,                 2.2054,                 1.2297,                 0.4795,                0.70164,                0.58501,                0.28129,                 1.7729,                 1.5244,                 1.0468,               0.070017,              0.0033315,              0.0033315
                      2,                 1.8218,                 1.5302,                 1.0855,                 0.4781,                0.62669,                0.51603,                0.25545,                 1.7518,                 1.5086,                 1.0341,               0.039885,              0.0065329,              0.0065329
                      3,                 1.8051,                 1.4929,                 1.0807,                0.41574,                0.63515,                0.52925,                0.25492,                 1.7468,                 1.4823,                 1.0499,              0.0096207,              0.0096022,              0.0096022
                      4,                   1.78,                 1.4353,                  1.072,                0.51345,                0.65039,                0.55908,                0.25599,                 1.7366,                 1.4034,                 1.0179,               0.009406,               0.009406,               0.009406
                      5,                 1.6981,                 1.3464,                 1.0483,                 0.7716,                0.70019,                0.81406,                0.42309,                 1.6296,                 1.2127,                 1.0015,               0.009208,               0.009208,               0.009208
                      6,                 1.6634,                 1.2798,                 1.0335,                0.66611,                0.75798,                 0.7718,                0.40346,                 1.5945,                 1.2015,                0.98955,                0.00901,                0.00901,                0.00901
                      7,                 1.6293,                 1.2471,                 1.0252,                0.53653,                0.66997,                0.65205,                0.36183,                 1.5883,                 1.2526,                0.97763,               0.008812,               0.008812,               0.008812
                      8,                 1.6012,                  1.201,                 1.0165,                0.68068,                 0.7014,                0.75273,                0.40684,                 1.5581,                 1.1634,                  0.978,               0.008614,               0.008614,               0.008614
                      9,                 1.5843,                 1.1168,                 1.0087,                0.88367,                0.79763,                0.90378,                 0.4935,                 1.5632,                0.96352,                0.97116,               0.008416,               0.008416,               0.008416
                     10,                 1.5727,                 1.0596,                 1.0074,                0.82861,                0.73259,                0.83492,                0.46434,                 1.5352,                 1.0258,                0.96723,               0.008218,               0.008218,               0.008218
                     11,                  1.558,                 1.0035,                 0.9986,                0.89042,                0.77797,                0.89744,                0.49258,                 1.5275,                0.93202,                0.96763,                0.00802,                0.00802,                0.00802
                     12,                 1.5507,                0.97002,                 1.0003,                0.87762,                0.79062,                0.90499,                0.50502,                 1.5398,                0.93554,                0.96947,               0.007822,               0.007822,               0.007822
                     13,                  1.535,                0.95657,                0.99332,                0.89635,                0.86823,                 0.9404,                0.53075,                 1.5034,                0.85389,                 0.9586,               0.007624,               0.007624,               0.007624
                     14,                 1.5298,                 0.9175,                0.99438,                0.90094,                0.87743,                0.94272,                0.53546,                 1.5032,                0.82932,                0.95709,               0.007426,               0.007426,               0.007426
                     15,                 1.5121,                 0.9051,                 0.9872,                0.90473,                0.88173,                0.94418,                0.54505,                 1.5012,                0.82834,                0.95287,               0.007228,               0.007228,               0.007228
                     16,                 1.4679,                0.85055,                0.97693,                0.90675,                0.88274,                0.94942,                0.55327,                 1.4778,                0.78331,                0.95056,                0.00703,                0.00703,                0.00703
                     17,                 1.4959,                0.87428,                0.98267,                 0.8804,                0.88612,                0.93782,                0.54339,                 1.4877,                0.79387,                 0.9529,               0.006832,               0.006832,               0.006832
                     18,                 1.4913,                0.86621,                0.98056,                0.89697,                0.88564,                0.94941,                0.55414,                 1.4763,                0.78071,                0.94982,               0.006634,               0.006634,               0.006634
                     19,                 1.4908,                0.85766,                0.97769,                0.91229,                0.87265,                0.94955,                0.55895,                 1.4648,                0.77636,                 0.9465,               0.006436,               0.006436,               0.006436
                     20,                 1.4821,                0.84297,                0.97813,                0.92247,                0.90812,                0.96118,                0.56633,                  1.469,                 0.7446,                0.94714,               0.006238,               0.006238,               0.006238
                     21,                 1.4747,                0.82796,                 0.9733,                0.93292,                0.90113,                0.96068,                0.57365,                 1.4513,                0.73778,                0.94217,                0.00604,                0.00604,                0.00604
