epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.729,1.6382,1.1871,0.97597,0.91074,0.87012,0.92684,0.49306,1.68757,0.88995,0.92257,0.0033315,0.0033315,0.0700165
2,582.483,1.57604,0.90124,0.96375,0.92264,0.85943,0.92243,0.51989,1.60371,0.86721,0.90921,0.00653287,0.00653287,0.0398846
3,867.808,1.58896,0.87902,0.97223,0.89767,0.89682,0.92567,0.48176,1.66818,0.90424,0.93598,0.00960224,0.00960224,0.0096206
4,1157.13,1.57679,0.83921,0.97943,0.87775,0.90588,0.9248,0.51617,1.61006,0.87319,0.92109,0.009406,0.009406,0.009406
5,1433.58,1.53626,0.78139,0.97238,0.94596,0.86224,0.94225,0.53065,1.59706,0.80201,0.91921,0.009208,0.009208,0.009208
6,1703.24,1.4969,0.74999,0.96149,0.94151,0.91241,0.95252,0.54217,1.55135,0.76792,0.90551,0.00901,0.00901,0.00901
7,1973.46,1.46536,0.71202,0.95522,0.93301,0.89754,0.94248,0.54455,1.55195,0.77554,0.90326,0.008812,0.008812,0.008812
8,2242.47,1.45251,0.69908,0.94635,0.94211,0.88987,0.93647,0.55721,1.55474,0.75734,0.90336,0.008614,0.008614,0.008614
9,2511.59,1.43228,0.68409,0.94184,0.95126,0.90683,0.94177,0.55889,1.53565,0.74589,0.90257,0.008416,0.008416,0.008416
10,2780.75,1.43047,0.67123,0.94121,0.95166,0.93321,0.95537,0.55897,1.53943,0.6889,0.90114,0.008218,0.008218,0.008218
11,3049.95,1.41001,0.65509,0.93665,0.94884,0.92797,0.9571,0.56999,1.51705,0.68017,0.8979,0.00802,0.00802,0.00802
12,3319.09,1.3953,0.64796,0.9347,0.94953,0.93796,0.95757,0.57551,1.49832,0.67842,0.89122,0.007822,0.007822,0.007822
13,3588.35,1.38954,0.6423,0.93426,0.95397,0.92462,0.95653,0.57789,1.47676,0.68683,0.89517,0.007624,0.007624,0.007624
14,3856.61,1.38655,0.63105,0.93085,0.95241,0.92983,0.96033,0.58662,1.4748,0.67119,0.89098,0.007426,0.007426,0.007426
15,4125.57,1.37479,0.62379,0.92686,0.96614,0.9349,0.96723,0.59209,1.45934,0.64241,0.88577,0.007228,0.007228,0.007228
16,4393.07,1.3737,0.6186,0.92584,0.96403,0.94651,0.96592,0.5961,1.45503,0.64499,0.8879,0.00703,0.00703,0.00703
17,4661.51,1.36024,0.61229,0.92496,0.96552,0.94984,0.96779,0.59595,1.44856,0.64156,0.88499,0.006832,0.006832,0.006832
18,4933.38,1.36307,0.61228,0.92362,0.96614,0.94191,0.96436,0.59322,1.46807,0.65606,0.88608,0.006634,0.006634,0.006634
19,451.421,1.35039,0.59542,0.92278,0.96083,0.94308,0.96273,0.58992,1.46297,0.65534,0.88477,0.006436,0.006436,0.006436
20,976.647,1.33806,0.59299,0.92008,0.96309,0.95144,0.97297,0.59394,1.45549,0.63799,0.88658,0.006238,0.006238,0.006238
